ID_Cliente;Genero;Jubilado;Pareja;Dependientes;Antigüedad;Abandono
141;Female;0;Yes;Yes;71;No
142;Female;0;No;No;39;No
143;Female;0;Yes;No;72;No
144;Female;0;Yes;No;7;Yes
145;Female;0;Yes;Yes;12;No
146;Female;0;No;No;12;No
147;Male;0;No;No;26;No
148;Female;0;No;No;42;No
149;Female;0;Yes;No;2;No
150;Female;0;No;No;35;Yes
151;Female;0;No;No;16;No
152;Female;0;No;No;26;No
153;Female;0;No;No;23;No
154;Female;0;Yes;No;28;No
155;Male;0;Yes;No;45;No
156;Male;0;No;No;62;No
157;Female;0;No;No;6;No
158;Female;1;No;No;15;Yes
159;Male;0;No;No;3;No
160;Male;0;No;Yes;15;No
161;Male;1;No;No;33;Yes
162;Male;1;Yes;No;20;Yes
163;Female;0;Yes;No;15;No
164;Female;1;Yes;No;47;Yes
165;Male;0;No;Yes;25;Yes
166;Female;0;No;No;1;Yes
167;Female;0;Yes;No;56;No
168;Female;1;No;No;5;No
169;Male;1;Yes;No;23;No
170;Male;1;Yes;Yes;38;No
171;Male;0;Yes;Yes;72;No
172;Male;0;No;No;31;Yes
173;Female;1;No;No;5;Yes
174;Female;0;No;No;30;No
175;Female;0;Yes;No;33;No
176;Male;0;Yes;Yes;30;No
177;Female;0;Yes;No;7;No
178;Female;1;No;No;4;Yes
179;Female;0;No;No;8;No
180;Female;0;No;No;15;No
181;Female;1;Yes;No;60;No
182;Female;1;Yes;Yes;60;No
183;Female;0;Yes;Yes;39;No
184;Male;0;No;Yes;66;No
185;Female;0;No;Yes;37;No
186;Female;0;No;Yes;26;No
187;Female;0;Yes;Yes;60;No
188;Female;0;No;No;38;Yes
189;Female;0;Yes;Yes;15;No
190;Female;0;No;Yes;16;No
191;Female;0;No;No;60;No
192;Male;1;Yes;No;72;No
193;Male;0;Yes;No;46;No
194;Female;1;Yes;No;20;No
195;Male;1;No;No;7;Yes
196;Female;0;No;No;27;No
197;Male;0;No;No;1;Yes
198;Male;0;Yes;No;66;No
199;Male;0;Yes;Yes;68;No
200;Female;0;Yes;Yes;52;No
201;Female;0;No;No;67;No
202;Male;0;Yes;No;72;No
203;Female;1;Yes;No;40;Yes
204;Male;0;Yes;Yes;69;No
205;Female;0;Yes;Yes;19;No
206;Male;1;No;No;3;Yes
207;Male;0;Yes;No;20;No
208;Male;0;Yes;Yes;72;No
209;Male;0;No;No;1;Yes
210;Female;0;No;No;1;No
211;Male;1;Yes;No;45;No
212;Male;0;No;No;38;Yes
213;Male;0;Yes;No;1;No
214;Male;0;No;No;59;No
215;Female;0;Yes;Yes;72;No
216;Female;0;No;No;2;Yes
217;Female;0;Yes;No;25;No
218;Male;0;Yes;No;40;No
219;Female;0;No;No;12;No
220;Female;0;Yes;No;49;No
221;Male;1;No;No;15;Yes
222;Female;1;No;No;33;No
223;Male;0;No;No;26;No
224;Male;0;Yes;No;70;No
225;Female;0;No;No;3;No
226;Female;0;No;No;1;No
227;Female;0;Yes;Yes;14;No
228;Male;0;Yes;Yes;61;No
229;Female;0;Yes;No;71;No
230;Male;0;No;No;1;Yes
231;Male;0;Yes;Yes;23;No
232;Male;0;No;No;12;No
233;Male;0;Yes;No;63;No
234;Male;0;Yes;Yes;71;No
235;Female;0;Yes;No;18;No
236;Female;1;Yes;Yes;32;No
237;Female;0;No;No;1;No
238;Male;1;Yes;Yes;8;Yes
239;Male;0;No;No;39;No
240;Female;1;No;No;5;No
241;Female;0;No;No;68;No
242;Female;0;No;No;12;Yes
243;Male;0;Yes;Yes;69;No
244;Female;0;No;Yes;21;No
245;Female;0;Yes;No;64;No
246;Male;0;Yes;Yes;9;Yes
247;Female;0;Yes;No;72;No
248;Male;1;No;No;49;Yes
249;Female;1;No;No;64;No
250;Male;0;No;No;28;No
251;Male;0;Yes;No;68;No
252;Female;1;No;No;5;Yes
253;Male;0;No;No;37;No
254;Male;0;Yes;Yes;6;Yes
255;Male;0;No;No;13;Yes
256;Male;1;No;No;37;No
257;Male;1;No;No;34;No
258;Male;0;No;Yes;9;Yes
259;Female;0;No;Yes;50;No
260;Male;0;Yes;No;60;No
261;Male;1;No;No;4;No
262;Male;0;Yes;Yes;40;No
263;Male;1;Yes;No;19;No
264;Female;0;No;No;46;No
265;Female;0;Yes;Yes;72;No
266;Male;0;No;No;1;No
267;Female;0;No;No;4;Yes
268;Female;0;Yes;No;37;Yes
269;Male;0;Yes;Yes;51;No
270;Male;0;Yes;Yes;0;No
271;Male;0;No;No;3;Yes
272;Female;1;Yes;No;43;No
273;Male;0;Yes;No;35;No
274;Male;0;No;No;30;No
275;Male;0;No;No;59;No
276;Female;1;Yes;No;58;No
277;Female;0;No;Yes;13;No
278;Male;0;Yes;No;12;No
279;Female;0;Yes;No;24;Yes
280;Female;1;No;No;64;Yes
281;Female;0;No;No;6;No
282;Female;0;No;No;50;No
283;Female;0;Yes;Yes;23;No
284;Female;0;Yes;Yes;35;No
285;Male;1;Yes;No;17;Yes
286;Male;1;Yes;Yes;66;No
287;Male;1;No;No;47;No
288;Female;0;No;No;8;Yes
289;Male;0;Yes;Yes;52;No
290;Female;0;Yes;Yes;39;No
291;Male;0;Yes;Yes;10;No
292;Male;1;No;No;39;Yes
293;Female;1;No;No;9;Yes
294;Male;0;No;No;29;No
295;Male;0;Yes;No;22;No
296;Female;0;Yes;No;53;No
297;Female;0;No;No;69;No
298;Male;1;No;No;11;No
299;Female;1;No;No;66;Yes
300;Male;0;No;Yes;23;No
301;Male;1;No;No;69;No
302;Male;0;No;No;1;No
303;Female;0;Yes;No;37;Yes
304;Female;0;Yes;Yes;11;No
305;Female;0;No;No;6;No
306;Female;0;No;No;36;No
307;Female;0;Yes;Yes;64;No
308;Male;0;Yes;Yes;12;No
309;Male;0;No;No;1;Yes
310;Male;0;Yes;Yes;15;No
311;Female;0;No;No;3;No
312;Male;0;No;No;1;No
313;Female;0;Yes;Yes;53;No
314;Male;0;No;No;38;No
315;Male;0;No;No;53;No
316;Male;1;Yes;No;71;No
317;Male;0;No;No;63;No
318;Male;0;Yes;No;70;No
319;Female;0;Yes;Yes;15;No
320;Male;0;Yes;Yes;21;No
321;Male;0;Yes;Yes;71;No
322;Male;0;Yes;Yes;30;No
323;Female;0;Yes;Yes;60;No
324;Female;0;No;No;1;Yes
325;Female;0;No;Yes;4;Yes
326;Female;0;No;No;25;No
327;Male;0;Yes;Yes;63;No
328;Male;0;Yes;No;60;Yes
329;Female;0;No;No;34;Yes
330;Female;0;Yes;Yes;12;No
331;Female;0;Yes;Yes;38;No
332;Female;0;No;No;51;No
333;Female;0;Yes;Yes;58;No
334;Male;0;Yes;Yes;27;No
335;Male;0;Yes;No;70;No
336;Male;0;Yes;No;72;No
337;Female;0;No;No;1;No
338;Male;0;No;No;4;No
339;Male;0;No;No;29;No
340;Female;0;No;No;66;No
341;Male;0;No;No;1;Yes
342;Female;0;No;No;4;No
343;Female;0;No;No;28;Yes
344;Male;0;No;No;42;No
345;Female;1;No;No;66;No
346;Male;0;Yes;Yes;29;No
347;Female;0;Yes;Yes;72;No
348;Female;0;No;No;4;Yes
349;Male;0;Yes;Yes;70;No
350;Female;1;Yes;No;27;Yes
351;Female;0;No;No;11;No
352;Male;0;Yes;Yes;47;No
353;Female;0;No;No;55;No
354;Female;0;No;No;39;No
355;Male;0;No;No;11;Yes
356;Female;0;No;No;11;No
357;Male;0;Yes;No;55;Yes
358;Male;0;No;No;3;Yes
359;Female;0;No;No;1;No
360;Female;0;Yes;Yes;68;Yes
361;Female;0;No;No;2;No
362;Male;0;Yes;Yes;16;No
363;Male;0;No;No;13;No
364;Male;0;Yes;Yes;28;No
365;Male;0;No;No;26;No
366;Female;0;Yes;Yes;56;No
367;Female;0;No;No;11;Yes
368;Male;0;Yes;Yes;68;No
369;Female;0;Yes;Yes;23;No
370;Female;0;No;No;58;Yes
371;Female;0;No;No;56;No
372;Male;0;Yes;Yes;45;No
373;Female;0;No;No;2;No
374;Male;0;Yes;No;69;No
375;Female;0;No;No;1;Yes
376;Male;1;No;No;1;Yes
377;Female;0;No;No;30;No
378;Male;1;Yes;No;49;Yes
379;Male;1;Yes;No;71;No
380;Female;0;Yes;No;2;No
381;Male;0;No;Yes;49;Yes
382;Male;0;Yes;Yes;23;No
383;Male;0;Yes;Yes;55;No
384;Female;1;No;No;32;No
385;Female;1;Yes;No;22;No
386;Female;0;Yes;Yes;70;No
387;Male;1;Yes;Yes;11;No
388;Male;0;No;No;72;No
389;Female;0;Yes;No;60;No
390;Male;1;Yes;No;71;No
391;Female;0;Yes;No;49;No
392;Female;0;No;No;2;No
393;Female;0;Yes;Yes;3;No
394;Female;0;No;No;58;No
395;Male;0;No;No;6;No
396;Female;0;No;No;26;No
397;Female;1;No;No;6;No
398;Male;0;Yes;Yes;14;No
399;Female;0;Yes;No;69;No
400;Male;1;No;No;31;No
401;Male;0;No;No;4;No
402;Female;0;Yes;No;72;No
403;Male;0;No;No;17;Yes
404;Male;0;Yes;Yes;15;No
405;Male;0;No;Yes;2;No
406;Male;0;No;No;5;No
407;Female;0;Yes;Yes;0;No
408;Female;1;Yes;No;26;Yes
409;Female;0;No;No;1;Yes
410;Female;0;No;No;14;No
411;Female;0;No;No;5;Yes
412;Male;0;No;No;1;Yes
413;Male;0;No;Yes;25;No
414;Male;1;Yes;No;50;No
415;Female;0;No;No;1;Yes
416;Male;1;Yes;No;71;No
417;Male;1;Yes;Yes;47;No
418;Male;0;Yes;Yes;71;No
419;Female;0;No;Yes;3;Yes
420;Male;0;No;No;14;No
421;Female;0;Yes;Yes;30;No
422;Female;1;Yes;No;66;No
423;Male;0;No;No;23;Yes
424;Male;1;No;No;2;Yes
425;Female;0;Yes;No;3;Yes
426;Male;0;No;No;15;No
427;Female;0;Yes;No;61;No
428;Male;0;No;No;1;No
429;Female;0;No;No;7;Yes
430;Male;0;No;No;9;No
431;Male;0;No;No;4;No
432;Female;0;Yes;Yes;9;No
433;Female;1;No;No;13;Yes
434;Female;1;Yes;No;25;No
435;Male;0;No;Yes;1;No
436;Female;0;Yes;No;4;No
437;Female;0;Yes;Yes;71;No
438;Male;1;Yes;No;39;Yes
439;Male;0;No;No;54;No
440;Male;0;Yes;No;9;Yes
441;Male;1;No;No;8;Yes
442;Male;0;No;No;59;No
443;Female;0;No;No;57;Yes
444;Male;0;No;No;70;Yes
445;Male;0;Yes;No;43;No
446;Male;0;No;No;1;Yes
447;Male;0;Yes;No;71;No
448;Female;0;No;No;25;No
449;Male;0;Yes;Yes;38;No
450;Male;0;No;No;68;No
451;Male;0;No;No;2;Yes
452;Female;0;Yes;Yes;56;No
453;Female;0;Yes;No;20;Yes
454;Male;1;No;No;2;Yes
455;Male;1;Yes;No;69;No
456;Female;0;No;No;34;No
457;Male;0;Yes;No;48;No
458;Male;0;No;No;36;Yes
459;Male;0;Yes;Yes;36;No
460;Male;0;No;No;1;Yes
461;Male;0;Yes;Yes;72;No
462;Male;0;No;No;48;No
463;Female;0;Yes;No;56;No
464;Male;0;No;No;2;No
465;Male;1;Yes;No;43;No
466;Male;0;No;No;1;Yes
467;Female;0;Yes;No;26;No
468;Male;1;No;No;70;No
469;Female;0;No;No;6;No
470;Male;0;Yes;No;51;No
471;Male;0;Yes;Yes;34;No
472;Female;0;No;No;29;No
473;Male;0;No;No;58;No
474;Female;0;No;No;10;No
475;Female;1;No;No;1;Yes
476;Male;0;Yes;Yes;72;No
477;Female;0;Yes;No;2;Yes
478;Female;0;Yes;No;3;Yes
479;Female;0;No;No;25;No
480;Male;0;Yes;Yes;22;No
481;Female;0;No;No;1;Yes
482;Male;0;No;Yes;55;No
483;Male;0;No;No;4;Yes
484;Male;0;Yes;Yes;30;No
485;Female;0;No;No;1;Yes
486;Male;0;No;Yes;27;No
487;Female;0;No;Yes;41;No
488;Female;0;Yes;Yes;70;No
489;Male;0;Yes;Yes;11;Yes
490;Female;0;Yes;Yes;72;No
491;Female;0;No;No;31;No
492;Female;0;No;No;16;Yes
493;Female;0;Yes;Yes;61;No
494;Female;0;Yes;No;24;No
495;Male;0;No;No;11;No
496;Female;1;Yes;Yes;55;No
497;Female;0;No;No;69;No
498;Female;0;Yes;No;20;No
499;Male;0;No;No;48;No
500;Male;0;No;No;15;Yes
501;Male;0;Yes;Yes;52;Yes
502;Female;0;Yes;Yes;72;No
503;Female;0;Yes;No;68;No
504;Female;1;No;No;52;No
505;Female;0;No;No;19;No
506;Female;0;Yes;Yes;38;No
507;Female;0;No;No;26;No
508;Female;0;No;No;22;No
509;Female;0;Yes;Yes;41;Yes
510;Male;1;Yes;Yes;60;No
511;Female;1;No;No;2;No
512;Male;0;No;No;67;No
513;Female;0;No;No;34;No
514;Male;1;No;No;48;No
515;Male;0;No;No;64;No
516;Male;0;No;No;1;Yes
517;Female;0;No;No;5;Yes
518;Female;0;Yes;Yes;56;No
519;Male;0;No;No;60;No
520;Female;1;No;No;55;No
521;Male;0;No;No;37;No
522;Male;0;No;No;60;No
523;Female;0;Yes;No;11;Yes
524;Male;0;No;No;31;No
525;Male;0;Yes;No;49;No
526;Male;1;Yes;No;66;No
527;Male;1;Yes;No;33;No
528;Female;0;No;Yes;46;No
529;Male;1;Yes;No;54;No
530;Female;1;Yes;No;56;Yes
531;Male;0;Yes;No;27;No
532;Female;0;No;No;20;No
533;Male;1;Yes;Yes;72;No
534;Female;0;Yes;No;72;No
535;Male;0;No;No;44;No
536;Male;0;No;Yes;56;No
537;Female;0;Yes;No;68;No
538;Male;0;No;No;31;Yes
539;Female;0;No;No;2;Yes
540;Female;0;Yes;No;71;No
541;Female;0;No;No;42;No
542;Male;0;Yes;Yes;68;No
543;Female;1;No;No;9;Yes
544;Male;0;No;No;35;No
545;Female;0;Yes;No;39;Yes
546;Female;0;Yes;Yes;58;No
547;Male;0;Yes;No;1;Yes
548;Male;0;No;No;7;Yes
549;Male;0;No;Yes;70;No
550;Male;1;Yes;No;64;No
551;Male;0;Yes;Yes;39;No
552;Female;0;No;Yes;1;No
553;Female;0;No;No;72;No
554;Male;0;No;No;1;Yes
555;Female;0;Yes;Yes;33;No
556;Male;0;Yes;No;35;No
557;Female;0;No;No;1;No
558;Female;0;No;No;2;No
559;Male;0;No;No;12;No
560;Female;0;No;No;29;No
561;Female;0;No;No;4;No
562;Male;0;No;No;15;No
563;Male;0;Yes;No;37;No
564;Female;0;No;No;9;No
565;Female;1;Yes;No;29;Yes
566;Male;0;No;No;7;Yes
567;Male;0;Yes;Yes;41;Yes
568;Female;0;Yes;Yes;65;No
569;Female;0;Yes;Yes;14;No
570;Female;0;No;No;66;No
571;Female;0;No;No;60;No
572;Female;0;Yes;Yes;55;No
573;Male;0;Yes;Yes;4;Yes
574;Male;1;Yes;No;7;No
575;Female;0;Yes;Yes;70;No
576;Male;1;No;No;71;No
577;Female;1;Yes;No;70;No
578;Male;0;Yes;Yes;62;No
579;Female;0;Yes;Yes;50;No
580;Male;0;Yes;No;39;No
581;Male;1;No;No;4;No
582;Male;0;No;No;24;No
583;Female;0;Yes;No;56;Yes
584;Male;0;No;No;27;No
585;Female;0;Yes;No;41;No
586;Male;0;Yes;No;40;Yes
587;Male;0;Yes;Yes;67;Yes
588;Male;0;Yes;No;42;No
589;Female;1;No;No;45;No
590;Female;0;Yes;Yes;58;No
591;Male;0;No;No;14;Yes
592;Male;0;No;No;48;No
593;Male;0;No;No;2;Yes
594;Female;0;Yes;Yes;56;No
595;Male;0;Yes;Yes;72;No
596;Male;0;No;No;17;Yes
597;Male;0;Yes;Yes;4;No
598;Male;0;No;No;1;Yes
599;Female;0;No;No;3;No
600;Female;0;Yes;No;57;No
601;Female;0;No;No;36;Yes
602;Male;0;Yes;No;52;No
603;Male;0;Yes;Yes;68;No
604;Female;0;No;No;17;No
605;Male;0;Yes;Yes;29;Yes
606;Female;1;Yes;No;72;No
607;Female;0;Yes;No;60;No
608;Female;0;Yes;No;71;No
609;Female;0;No;No;3;Yes
610;Male;0;No;No;8;Yes
611;Female;1;No;No;11;Yes
612;Male;0;Yes;Yes;68;No
613;Male;1;No;No;1;No
614;Male;0;Yes;Yes;32;No
615;Female;0;No;No;38;No
616;Female;0;No;No;1;Yes
617;Female;0;Yes;Yes;52;No
618;Female;0;No;No;1;Yes
619;Female;0;Yes;No;19;No
620;Female;0;Yes;No;3;No
621;Male;0;No;No;3;No
622;Female;0;No;No;6;Yes
623;Female;0;No;No;52;No
624;Female;0;Yes;No;15;No
625;Male;0;No;No;17;No
626;Male;0;No;No;14;Yes
627;Male;0;Yes;Yes;61;No
628;Male;0;Yes;Yes;37;No
629;Female;0;Yes;No;60;No
630;Female;1;Yes;No;31;No
631;Male;0;No;No;36;No
632;Female;0;No;Yes;50;No
633;Female;0;No;No;28;No
634;Male;0;No;No;2;No
635;Male;0;No;No;43;No
636;Male;0;Yes;Yes;20;No
637;Male;0;Yes;Yes;48;No
638;Male;0;Yes;Yes;18;No
639;Female;0;No;No;1;No
640;Female;0;No;No;60;No
641;Female;0;Yes;No;72;No
642;Male;0;Yes;Yes;1;No
643;Female;0;Yes;No;27;No
644;Male;1;Yes;No;66;Yes
645;Female;1;No;No;65;No
646;Female;0;No;No;46;No
647;Female;1;No;No;49;No
648;Female;1;No;No;5;Yes
649;Female;0;No;No;2;No
650;Female;0;No;No;51;No
651;Female;1;No;No;28;Yes
652;Male;0;No;No;18;No
653;Female;0;No;No;15;Yes
654;Female;0;No;No;4;Yes
655;Female;0;Yes;Yes;72;No
656;Female;1;No;No;15;No
657;Male;0;No;No;57;No
658;Female;0;Yes;No;41;Yes
659;Female;0;Yes;Yes;61;No
660;Male;0;No;No;1;Yes
661;Male;0;Yes;Yes;20;No
662;Male;0;No;Yes;5;No
663;Male;0;Yes;Yes;1;No
664;Female;0;No;No;1;No
665;Female;0;No;No;1;Yes
666;Male;0;No;No;52;No
667;Female;1;Yes;No;48;No
668;Female;0;No;No;62;No
669;Male;1;No;No;18;Yes
670;Female;0;Yes;Yes;70;No
671;Female;0;Yes;Yes;15;No
672;Female;0;Yes;No;42;No
673;Female;0;No;No;2;No
674;Male;0;No;No;2;No
675;Female;0;No;Yes;8;No
676;Male;0;No;No;45;No
677;Male;1;No;No;3;Yes
678;Female;0;No;No;50;No
679;Male;0;No;No;37;No
680;Male;0;Yes;No;12;Yes
681;Male;0;Yes;Yes;1;No
682;Female;0;No;No;40;No
683;Male;0;Yes;Yes;4;No
684;Female;1;Yes;No;20;Yes
685;Female;1;No;No;2;No
686;Female;0;No;No;17;No
687;Female;0;Yes;Yes;3;No
688;Male;0;Yes;Yes;13;No
689;Female;0;No;Yes;65;No
690;Male;0;Yes;Yes;18;No
691;Male;0;Yes;No;42;Yes
692;Female;1;No;No;30;No
693;Female;0;Yes;No;70;No
694;Male;1;No;No;25;Yes
695;Female;0;No;No;12;No
696;Male;1;No;No;7;Yes
697;Female;0;No;No;63;No
698;Male;0;Yes;No;67;No
699;Female;0;Yes;No;71;No
700;Female;0;Yes;No;24;Yes
701;Female;0;No;No;5;Yes
702;Female;0;Yes;No;22;Yes
703;Male;0;No;No;4;Yes
704;Female;0;No;No;31;No
705;Male;0;No;No;18;No
706;Male;0;No;Yes;1;No
707;Male;0;Yes;Yes;40;No
708;Female;0;No;No;3;No
709;Male;0;No;No;44;No
710;Male;0;Yes;Yes;17;Yes
711;Female;0;Yes;No;72;No
712;Female;1;Yes;Yes;28;No
713;Male;0;Yes;Yes;70;No
714;Female;0;Yes;No;1;No
715;Female;0;Yes;Yes;59;No
716;Male;1;Yes;No;13;No
717;Male;0;No;No;30;Yes
718;Female;1;Yes;No;31;No
719;Male;0;No;No;12;Yes
720;Male;0;No;No;54;No
721;Female;0;No;No;30;No
722;Male;0;No;No;11;Yes
723;Male;0;No;No;37;No
724;Female;1;Yes;No;28;Yes
725;Male;0;No;No;1;No
726;Male;0;No;No;32;No
727;Male;0;Yes;No;72;No
728;Female;0;No;No;30;Yes
729;Female;0;Yes;Yes;43;No
730;Male;0;No;No;58;Yes
731;Male;0;No;No;28;No
732;Male;0;No;No;45;No
733;Male;0;Yes;No;18;No
734;Female;0;No;No;13;No
735;Female;0;Yes;Yes;31;Yes
736;Male;0;No;No;59;No
737;Female;0;No;No;13;No
738;Female;0;No;No;12;No
739;Male;0;No;No;1;Yes
740;Female;0;No;No;20;No
741;Male;0;No;No;1;Yes
742;Male;0;No;No;37;No
743;Female;1;No;No;2;Yes
744;Male;0;Yes;No;22;Yes
745;Female;0;Yes;Yes;45;No
746;Male;0;No;No;2;No
747;Male;0;Yes;Yes;72;No
748;Male;0;No;No;4;No
749;Female;0;Yes;Yes;4;No
750;Female;0;No;No;5;No
751;Female;0;No;No;40;No
752;Male;0;Yes;Yes;15;No
753;Female;0;Yes;No;58;Yes
754;Male;0;No;No;46;No
755;Female;0;Yes;Yes;18;No
756;Male;0;No;No;58;No
757;Female;0;No;No;5;No
758;Male;1;Yes;No;32;Yes
759;Male;0;No;No;40;Yes
760;Male;0;Yes;Yes;8;No
761;Male;0;No;No;5;Yes
762;Female;1;Yes;No;59;No
763;Male;0;No;No;2;No
764;Female;0;Yes;No;46;No
765;Female;0;No;No;15;No
766;Female;0;No;No;34;Yes
767;Male;0;No;No;35;No
768;Female;1;Yes;Yes;23;No
769;Male;1;No;No;22;Yes
770;Female;0;Yes;Yes;70;No
771;Male;0;No;No;63;No
772;Female;0;Yes;No;19;No
773;Female;0;No;No;2;No
774;Female;0;No;No;6;No
775;Female;0;No;No;40;No
776;Male;0;No;No;57;No
777;Female;1;No;No;1;Yes
778;Female;1;Yes;No;72;No
779;Female;0;Yes;No;52;No
780;Male;0;No;No;60;No
781;Male;0;No;No;9;Yes
782;Male;1;No;No;3;Yes
783;Female;1;No;No;26;No
784;Female;0;No;No;36;No
785;Male;0;No;No;24;Yes
786;Female;0;No;No;11;Yes
787;Female;0;Yes;Yes;72;No
788;Female;0;Yes;No;25;Yes
789;Male;0;No;Yes;21;No
790;Male;1;No;No;1;Yes
791;Male;0;No;No;5;Yes
792;Male;0;No;No;3;No
793;Female;0;Yes;No;71;No
794;Male;1;Yes;No;27;No
795;Female;0;Yes;Yes;37;No
796;Male;0;Yes;Yes;32;No
797;Male;0;No;Yes;25;No
798;Female;0;Yes;Yes;72;No
799;Male;0;No;No;53;No
800;Male;0;No;No;7;Yes
801;Female;0;No;No;9;Yes
802;Male;0;Yes;No;53;No
803;Female;0;No;No;5;No
804;Male;0;Yes;Yes;9;No
805;Female;0;Yes;Yes;13;Yes
806;Male;0;Yes;Yes;1;No
807;Female;0;No;No;2;Yes
808;Female;0;Yes;Yes;56;No
809;Female;0;Yes;No;26;No
810;Female;0;No;No;11;No
811;Male;0;No;No;42;No
812;Female;0;No;No;54;No
813;Female;0;No;No;34;No
814;Female;0;Yes;Yes;55;No
815;Male;0;No;No;22;Yes
816;Male;0;No;No;3;No
817;Female;0;No;No;1;No
818;Female;1;No;No;45;No
819;Female;0;No;No;2;No
820;Male;0;No;No;57;No
